# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
1             	1.000000e+00	1.000000e+00	1.000000e+00
2             	2.119282e-02	4.506312e-01	4.786525e-01
3             	3.316993e-02	1.206654e-01	1.372257e-01
4             	1.347966e-01	2.245212e-02	2.636761e-02
5             	3.947474e-02	1.060669e-01	1.316528e-01
6             	6.380607e-02	1.059849e-01	1.268525e-01
7             	7.369508e-02	6.480841e-02	7.290418e-02
8             	4.837349e-02	8.940320e-02	1.008843e-01
9             	1.093793e-01	2.942187e-02	3.220321e-02
10            	9.403811e-02	2.365397e-02	2.871720e-02
11            	6.563985e-02	4.290618e-02	5.141421e-02
12            	3.180232e-01	1.752832e-02	1.840055e-02
13            	7.855596e-02	2.484948e-02	2.880476e-02
14            	7.857371e-02	2.547644e-02	2.850105e-02
15            	3.806081e-01	6.187701e-03	4.981560e-03
16            	1.179688e-01	1.284359e-02	1.569948e-02
17            	1.506214e-01	1.317377e-02	1.560439e-02
18            	1.725957e-01	3.648378e-03	2.668397e-03
19            	8.276067e-02	1.007702e-02	1.122907e-02
20            	1.187103e-01	7.864948e-03	8.009338e-03
21            	3.946048e-01	3.187889e-03	2.383001e-03
22            	1.987416e-01	5.830686e-03	6.621126e-03
23            	2.446413e-01	4.278304e-03	4.308001e-03
24            	9.341199e-02	2.989582e-03	2.327993e-03
25            	8.134031e-02	4.466191e-03	4.226616e-03
26            	1.196043e-01	3.111614e-03	2.261311e-03
27            	2.253166e-01	2.639788e-03	1.918194e-03
28            	1.766589e-01	3.048228e-03	2.647744e-03
29            	9.212768e-02	2.221119e-03	1.366137e-03
30            	7.010391e-02	2.452952e-03	1.570244e-03
31            	7.103691e-02	2.671717e-03	1.761078e-03
32            	8.933568e-02	2.139919e-03	9.810268e-04
33            	9.973113e-02	2.188433e-03	1.256185e-03
34            	8.282788e-02	2.184768e-03	1.256370e-03
35            	6.601046e-02	2.030870e-03	8.859191e-04
36            	5.809043e-02	2.173601e-03	1.070527e-03
37            	5.702241e-02	2.146331e-03	9.919502e-04
38            	6.309351e-02	1.999888e-03	7.859918e-04
39            	6.162748e-02	2.028370e-03	9.159118e-04
40            	5.598482e-02	2.011315e-03	8.761819e-04
41            	5.096473e-02	2.007960e-03	8.051486e-04
42            	4.592094e-02	2.052718e-03	8.424683e-04
43            	4.605766e-02	2.037876e-03	7.975920e-04
44            	4.728605e-02	2.012962e-03	7.745005e-04
45            	4.642968e-02	2.007648e-03	7.956762e-04
46            	4.382437e-02	2.003917e-03	7.812596e-04
47            	4.112443e-02	2.015902e-03	7.801124e-04
48            	3.862080e-02	2.026557e-03	7.826339e-04
49            	3.798917e-02	2.025022e-03	7.675225e-04
50            	3.752956e-02	2.022194e-03	7.656784e-04
51            	3.696546e-02	2.016921e-03	7.628168e-04
52            	3.577757e-02	2.017077e-03	7.619673e-04
53            	3.430696e-02	2.016312e-03	7.659764e-04
54            	3.300458e-02	2.015748e-03	7.658526e-04
55            	3.229340e-02	2.017485e-03	7.641169e-04
56            	3.199684e-02	2.018753e-03	7.648261e-04
57            	3.167083e-02	2.014842e-03	7.626427e-04
58            	3.092770e-02	2.009170e-03	7.595274e-04
59            	3.017888e-02	2.007468e-03	7.597841e-04
60            	2.914177e-02	2.002411e-03	7.592782e-04
61            	2.829930e-02	1.999953e-03	7.609162e-04
62            	2.776941e-02	1.999152e-03	7.637491e-04
63            	2.774871e-02	1.997166e-03	7.647535e-04
64            	2.769200e-02	1.992317e-03	7.631168e-04
65            	2.723686e-02	1.985827e-03	7.596443e-04
66            	2.664274e-02	1.979621e-03	7.563037e-04
67            	2.610718e-02	1.975442e-03	7.569395e-04
68            	2.561600e-02	1.972658e-03	7.597900e-04
69            	2.529007e-02	1.968445e-03	7.626821e-04
70            	2.519458e-02	1.961362e-03	7.640639e-04
71            	2.491888e-02	1.952035e-03	7.644812e-04
72            	2.458529e-02	1.943994e-03	7.637183e-04
73            	2.418773e-02	1.936244e-03	7.624711e-04
74            	2.383489e-02	1.929825e-03	7.612866e-04
75            	2.357742e-02	1.923227e-03	7.601983e-04
76            	2.334187e-02	1.915581e-03	7.613809e-04
77            	2.326737e-02	1.907854e-03	7.630876e-04
78            	2.233934e-02	1.889513e-03	7.605869e-04
79            	2.203532e-02	1.886118e-03	7.593876e-04
80            	2.196853e-02	1.881742e-03	7.584759e-04
81            	2.230546e-02	1.871220e-03	7.562526e-04
82            	2.240267e-02	1.855704e-03	7.531173e-04
83            	2.204547e-02	1.840351e-03	7.503696e-04
84            	2.159335e-02	1.828836e-03	7.478530e-04
85            	2.105761e-02	1.818930e-03	7.461619e-04
86            	2.053672e-02	1.809814e-03	7.458129e-04
87            	2.016769e-02	1.799073e-03	7.455965e-04
88            	1.990372e-02	1.785945e-03	7.447474e-04
89            	1.960159e-02	1.769396e-03	7.419339e-04
90            	1.893485e-02	1.755144e-03	7.396655e-04
91            	1.894200e-02	1.745897e-03	7.370587e-04
92            	1.850482e-02	1.735064e-03	7.343885e-04
93            	1.857465e-02	1.718847e-03	7.325297e-04
