# Force coefficients
# liftDir     : (-1.736482e-01 9.848078e-01 0.000000e+00)
# dragDir     : (9.848078e-01 1.736482e-01 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 9.000000e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	3.241945e-03	4.597504e-02	2.362677e-03	4.423283e-03	-2.060607e-03
100           	4.721722e-01	1.794356e-01	1.361292e+00	1.152818e+00	2.084738e-01
200           	5.193932e-01	1.297076e-01	1.553891e+00	1.296339e+00	2.575524e-01
300           	5.118506e-01	1.052576e-01	1.575367e+00	1.299534e+00	2.758328e-01
400           	5.106061e-01	9.505893e-02	1.584173e+00	1.302692e+00	2.814803e-01
500           	5.095892e-01	8.792998e-02	1.587229e+00	1.303204e+00	2.840254e-01
600           	5.080543e-01	8.193618e-02	1.586960e+00	1.301534e+00	2.854256e-01
700           	5.061400e-01	7.675442e-02	1.584879e+00	1.298580e+00	2.862995e-01
800           	5.038771e-01	7.240094e-02	1.581542e+00	1.294648e+00	2.868941e-01
900           	5.013785e-01	6.883496e-02	1.577278e+00	1.290018e+00	2.872606e-01
1000          	4.989582e-01	6.604621e-02	1.572907e+00	1.285411e+00	2.874951e-01
1100          	4.967863e-01	6.388947e-02	1.568826e+00	1.281199e+00	2.876266e-01
1200          	4.950835e-01	6.229020e-02	1.565595e+00	1.277881e+00	2.877139e-01
1300          	4.938295e-01	6.112358e-02	1.563434e+00	1.275547e+00	2.878877e-01
1400          	4.928444e-01	6.020888e-02	1.562060e+00	1.273874e+00	2.881856e-01
1500          	4.920703e-01	5.944623e-02	1.561476e+00	1.272808e+00	2.886678e-01
1600          	4.914214e-01	5.873522e-02	1.561496e+00	1.272169e+00	2.893267e-01
1700          	4.909366e-01	5.805732e-02	1.562167e+00	1.272020e+00	2.901471e-01
1800          	4.906051e-01	5.738787e-02	1.563462e+00	1.272336e+00	2.911261e-01
1900          	4.904578e-01	5.674131e-02	1.565410e+00	1.273163e+00	2.922474e-01
2000          	4.904751e-01	5.610799e-02	1.567937e+00	1.274444e+00	2.934936e-01
2100          	4.906493e-01	5.549270e-02	1.570962e+00	1.276130e+00	2.948315e-01
2200          	4.909708e-01	5.489495e-02	1.574445e+00	1.278193e+00	2.962519e-01
2300          	4.914182e-01	5.431906e-02	1.578269e+00	1.280553e+00	2.977165e-01
2400          	4.919920e-01	5.376926e-02	1.582429e+00	1.283207e+00	2.992227e-01
2500          	4.926452e-01	5.324337e-02	1.586748e+00	1.286019e+00	3.007287e-01
2600          	4.933506e-01	5.273653e-02	1.591155e+00	1.288928e+00	3.022270e-01
2700          	4.941029e-01	5.225851e-02	1.595628e+00	1.291917e+00	3.037114e-01
2800          	4.949029e-01	5.181251e-02	1.600124e+00	1.294965e+00	3.051593e-01
2900          	4.957093e-01	5.139502e-02	1.604509e+00	1.297964e+00	3.065453e-01
3000          	4.965620e-01	5.101037e-02	1.608907e+00	1.301015e+00	3.078914e-01
